LON,LAT,PGA-DD1,PGA-DD2,PGA-DD3,PGA-DD4,Ss-DD1,Ss-DD2,Ss-DD3,Ss-DD4,S1-DD1,S1-DD2,S1-DD3,S1-DD4,PGV-DD4,PGV-DD3,PGV-DD2,PGV-DD1
28.55,36.05,0.98,0.564,0.245,0.181,2.332,1.299,0.555,0.407,0.633,0.335,0.133,0.097,7.028,10.195,26.608,50.124
28.55,36.15,1.037,0.609,0.267,0.195,2.519,1.443,0.602,0.43,0.679,0.366,0.144,0.103,7.831,11.71,31.674,58.124
28.55,36.25,1.131,0.673,0.286,0.201,2.813,1.617,0.64,0.441,0.747,0.407,0.151,0.105,8.301,13.139,37.865,66.79
28.55,36.35,1.199,0.706,0.294,0.2,2.982,1.683,0.662,0.441,0.782,0.419,0.156,0.106,8.48,14.105,44.102,78.582
28.55,36.45,1.185,0.688,0.281,0.191,2.935,1.637,0.632,0.427,0.765,0.406,0.15,0.103,8.295,13.418,42.017,76.858
28.55,36.55,1.103,0.629,0.253,0.179,2.708,1.504,0.58,0.407,0.704,0.369,0.136,0.096,7.845,11.933,35.164,65.161
28.55,36.65,0.92,0.527,0.223,0.163,2.248,1.24,0.508,0.372,0.586,0.31,0.122,0.089,7.122,10.367,27.804,51.748
28.55,36.75,0.779,0.436,0.194,0.148,1.874,1.024,0.439,0.33,0.504,0.269,0.112,0.083,6.048,8.445,21.147,39.19
28.55,36.85,0.746,0.409,0.177,0.136,1.784,0.952,0.406,0.306,0.474,0.25,0.106,0.08,5.357,7.315,17.239,31.304
28.55,36.95,0.754,0.41,0.171,0.128,1.818,0.957,0.392,0.293,0.469,0.245,0.103,0.077,4.894,6.652,16.114,29.458
28.55,37.05,0.754,0.406,0.164,0.121,1.821,0.946,0.371,0.277,0.462,0.239,0.098,0.075,4.712,6.402,16.088,30.298
28.55,37.15,0.681,0.361,0.15,0.112,1.641,0.842,0.337,0.253,0.429,0.221,0.092,0.07,4.811,6.46,15.896,30.417
28.55,37.25,0.628,0.341,0.144,0.108,1.501,0.794,0.323,0.241,0.373,0.202,0.087,0.066,5.134,6.809,16.033,29.079
28.55,37.35,0.598,0.325,0.137,0.104,1.42,0.757,0.311,0.232,0.351,0.192,0.084,0.064,5.29,6.91,15.953,29.061
28.55,37.45,0.606,0.321,0.134,0.102,1.444,0.75,0.307,0.229,0.365,0.193,0.084,0.064,5.407,7.077,16.475,31.762
28.55,37.55,0.633,0.335,0.14,0.106,1.54,0.795,0.321,0.24,0.389,0.203,0.086,0.065,5.694,7.566,18.048,35.401
28.55,37.65,0.687,0.372,0.155,0.116,1.705,0.895,0.362,0.271,0.423,0.22,0.092,0.07,6.272,8.381,20.635,39.789
28.55,37.75,0.786,0.43,0.178,0.132,1.983,1.059,0.422,0.309,0.493,0.253,0.102,0.076,7.19,9.701,24.521,46.972
28.55,37.85,0.975,0.539,0.208,0.148,2.512,1.327,0.485,0.343,0.609,0.312,0.113,0.081,7.896,11.248,31.374,58.276
28.55,37.95,1.006,0.55,0.206,0.147,2.548,1.341,0.481,0.338,0.68,0.334,0.113,0.08,7.896,11.306,33.929,64.545
28.55,38.05,0.717,0.401,0.17,0.126,1.819,0.986,0.407,0.299,0.462,0.244,0.101,0.075,7.251,9.74,23.482,43.277
28.55,38.15,0.66,0.361,0.153,0.113,1.665,0.888,0.362,0.269,0.442,0.229,0.094,0.07,6.627,8.905,21.748,41.272
28.55,38.25,0.797,0.427,0.158,0.112,2.02,1.045,0.373,0.263,0.534,0.264,0.096,0.07,6.593,9.247,26.458,50.753
28.55,38.35,1.066,0.561,0.17,0.113,2.679,1.344,0.4,0.266,0.727,0.34,0.101,0.07,6.65,9.855,35.329,68.686
28.55,38.45,0.87,0.462,0.158,0.109,2.225,1.134,0.372,0.253,0.572,0.279,0.094,0.067,6.389,9.181,28.68,55.486
28.55,38.55,0.635,0.34,0.135,0.098,1.603,0.833,0.317,0.229,0.41,0.209,0.084,0.062,5.905,7.995,20.278,39.427
28.55,38.65,0.549,0.291,0.119,0.089,1.355,0.704,0.285,0.211,0.34,0.18,0.078,0.059,5.547,7.296,16.898,32.364
28.55,38.75,0.491,0.268,0.114,0.086,1.205,0.644,0.271,0.206,0.301,0.167,0.076,0.058,5.405,6.938,15.472,28.242
28.55,38.85,0.503,0.279,0.119,0.089,1.227,0.665,0.284,0.212,0.301,0.169,0.077,0.058,5.49,7.104,15.721,28.493
28.55,38.95,0.574,0.315,0.134,0.1,1.4,0.756,0.313,0.231,0.34,0.183,0.08,0.061,5.776,7.632,17.5,32.848
28.55,39.05,0.692,0.385,0.157,0.114,1.703,0.915,0.365,0.266,0.415,0.215,0.087,0.065,6.297,8.502,21.313,40.644
28.55,39.15,0.894,0.479,0.175,0.123,2.208,1.143,0.409,0.29,0.556,0.268,0.094,0.069,6.704,9.374,27.874,54.842
28.55,39.25,0.832,0.455,0.175,0.124,2.061,1.095,0.409,0.291,0.51,0.254,0.095,0.069,6.775,9.394,26.042,50.057
28.55,39.35,0.695,0.383,0.157,0.114,1.713,0.913,0.365,0.266,0.416,0.216,0.089,0.066,6.381,8.594,21.285,40.732
28.55,39.45,0.651,0.345,0.14,0.103,1.6,0.825,0.324,0.236,0.394,0.202,0.085,0.063,5.961,7.973,19.469,38.618
28.55,39.55,0.622,0.325,0.129,0.094,1.523,0.776,0.302,0.22,0.38,0.194,0.083,0.062,5.751,7.675,18.567,37.202
28.55,39.65,0.596,0.312,0.124,0.09,1.452,0.74,0.291,0.212,0.365,0.19,0.082,0.061,5.666,7.553,17.941,35.547
28.55,39.75,0.579,0.305,0.122,0.089,1.409,0.724,0.288,0.209,0.36,0.19,0.082,0.061,5.679,7.6,17.815,34.724
28.55,39.85,0.57,0.309,0.125,0.09,1.403,0.742,0.293,0.211,0.367,0.199,0.085,0.062,5.771,7.842,18.582,34.92
28.55,39.95,0.749,0.403,0.14,0.096,1.844,0.955,0.323,0.221,0.465,0.242,0.091,0.065,6.05,8.608,24.04,45.281
28.55,40.05,0.977,0.521,0.154,0.102,2.41,1.228,0.355,0.232,0.609,0.302,0.098,0.067,6.278,9.365,31.493,59.864
28.55,40.15,0.864,0.458,0.153,0.104,2.135,1.095,0.353,0.236,0.537,0.27,0.097,0.068,6.345,9.249,27.493,53.22
28.55,40.25,0.68,0.374,0.147,0.104,1.673,0.89,0.338,0.236,0.435,0.232,0.095,0.068,6.33,8.884,22.192,41.712
28.55,40.35,0.723,0.375,0.146,0.104,1.752,0.888,0.335,0.237,0.46,0.236,0.096,0.068,6.388,8.868,22.577,44.758
28.55,40.45,0.664,0.357,0.148,0.107,1.623,0.85,0.339,0.244,0.435,0.233,0.098,0.07,6.572,9.063,21.972,41.276
28.55,40.55,0.66,0.363,0.157,0.114,1.619,0.872,0.367,0.267,0.455,0.246,0.105,0.075,7.11,9.758,22.925,42.637
28.55,40.65,0.732,0.419,0.182,0.13,1.815,1.018,0.428,0.303,0.525,0.285,0.115,0.079,7.838,11.128,26.673,48.9
28.55,40.75,0.966,0.583,0.233,0.152,2.476,1.433,0.553,0.349,0.665,0.372,0.138,0.085,8.712,14.145,36.173,62.561
28.55,40.85,1.218,0.726,0.305,0.161,3.09,1.772,0.7,0.37,0.839,0.464,0.17,0.088,9.039,18.391,61.619,104.147
28.55,40.95,1.038,0.621,0.23,0.139,2.651,1.536,0.542,0.317,0.718,0.401,0.134,0.079,7.984,14.01,39.268,66.196
28.55,41.05,0.647,0.381,0.153,0.098,1.621,0.922,0.355,0.226,0.452,0.257,0.102,0.065,6.172,9.694,23.759,41.211
28.55,41.15,0.536,0.297,0.115,0.075,1.31,0.712,0.271,0.171,0.358,0.206,0.084,0.056,5.165,7.731,18.455,32.344
28.55,41.25,0.478,0.253,0.096,0.062,1.162,0.603,0.221,0.143,0.315,0.179,0.075,0.05,4.44,6.581,15.847,28.385
28.55,41.35,0.431,0.223,0.082,0.054,1.046,0.53,0.189,0.122,0.289,0.162,0.067,0.045,4.016,5.857,14.267,25.596
28.55,41.45,0.419,0.209,0.073,0.048,1.02,0.492,0.165,0.109,0.281,0.154,0.061,0.042,3.736,5.396,13.4,24.986
28.55,41.55,0.513,0.215,0.065,0.043,1.25,0.506,0.149,0.098,0.316,0.153,0.058,0.039,3.41,4.95,13.656,29.992
28.55,41.65,0.665,0.227,0.058,0.04,1.61,0.528,0.132,0.089,0.394,0.156,0.054,0.038,3.166,4.564,14.241,39.536
28.55,41.75,0.605,0.202,0.053,0.037,1.453,0.468,0.118,0.081,0.373,0.144,0.051,0.035,2.975,4.244,12.967,37.821
28.55,41.85,0.4,0.16,0.048,0.034,0.956,0.37,0.107,0.075,0.26,0.124,0.047,0.033,2.813,3.959,10.822,24.363
28.55,41.95,0.296,0.132,0.043,0.031,0.705,0.303,0.097,0.069,0.211,0.111,0.044,0.031,2.67,3.705,9.358,18.439
28.55,42.05,0.25,0.114,0.04,0.029,0.593,0.263,0.088,0.063,0.188,0.103,0.041,0.029,2.47,3.423,8.447,15.94
28.55,42.15,0.226,0.105,0.037,0.027,0.535,0.239,0.082,0.059,0.175,0.096,0.039,0.028,2.314,3.204,7.867,14.709
28.55,42.25,0.236,0.104,0.035,0.026,0.561,0.236,0.078,0.056,0.172,0.092,0.037,0.026,2.194,3.04,7.608,14.755
28.55,42.35,0.257,0.106,0.034,0.024,0.609,0.242,0.075,0.053,0.173,0.088,0.034,0.024,2.077,2.881,7.431,15.312
28.55,42.45,0.265,0.107,0.032,0.022,0.63,0.245,0.071,0.05,0.169,0.081,0.031,0.022,1.92,2.636,7.019,15.402
28.55,42.55,0.267,0.107,0.031,0.022,0.635,0.246,0.069,0.048,0.167,0.079,0.029,0.02,1.781,2.489,6.864,15.436
28.55,42.65,0.267,0.107,0.03,0.021,0.636,0.247,0.068,0.045,0.165,0.075,0.026,0.018,1.583,2.261,6.637,15.383
28.55,42.75,0.27,0.109,0.03,0.02,0.643,0.252,0.068,0.044,0.163,0.07,0.022,0.015,1.382,2.024,6.439,15.441
28.65,35.55,0.809,0.468,0.21,0.157,1.865,1.054,0.446,0.332,0.539,0.292,0.116,0.084,4.722,6.172,13.986,25.041
