LON,LAT,PGA-DD1,PGA-DD2,PGA-DD3,PGA-DD4,Ss-DD1,Ss-DD2,Ss-DD3,Ss-DD4,S1-DD1,S1-DD2,S1-DD3,S1-DD4,PGV-DD4,PGV-DD3,PGV-DD2,PGV-DD1
24.55,39.95,1.32,0.716,0.218,0.138,3.273,1.714,0.501,0.317,0.878,0.437,0.121,0.076,7.596,12.321,44.717,83.452
24.55,40.05,0.906,0.516,0.19,0.127,2.291,1.246,0.439,0.297,0.617,0.324,0.111,0.074,7.324,11.01,31.6,57.991
24.55,40.15,0.835,0.448,0.168,0.117,2.1,1.091,0.398,0.275,0.574,0.293,0.105,0.072,6.897,10.118,28.146,53.509
24.55,40.25,0.736,0.397,0.155,0.11,1.851,0.961,0.363,0.255,0.502,0.261,0.098,0.068,6.505,9.299,24.54,46.518
24.55,40.35,0.741,0.386,0.147,0.103,1.845,0.931,0.342,0.236,0.476,0.244,0.092,0.064,6.099,8.724,23.049,44.843
24.65,39.75,0.654,0.386,0.16,0.114,1.637,0.924,0.373,0.265,0.471,0.257,0.099,0.069,6.707,9.559,23.999,42.787
24.65,39.85,0.882,0.508,0.189,0.128,2.226,1.223,0.437,0.298,0.621,0.324,0.109,0.074,7.282,10.885,31.68,57.479
24.65,39.95,1.139,0.614,0.212,0.137,2.825,1.472,0.487,0.314,0.767,0.383,0.119,0.076,7.567,11.967,45.1,85.698
24.65,40.05,1.149,0.621,0.205,0.135,2.854,1.489,0.47,0.311,0.765,0.383,0.116,0.076,7.558,11.643,38.564,72.733
24.65,40.15,0.87,0.486,0.185,0.127,2.2,1.179,0.431,0.297,0.597,0.311,0.11,0.075,7.377,10.81,30.074,55.756
24.65,40.25,0.788,0.425,0.166,0.116,1.983,1.037,0.393,0.274,0.544,0.28,0.103,0.071,6.814,9.882,26.491,50.273
24.65,40.35,0.783,0.412,0.155,0.107,1.952,0.997,0.363,0.246,0.506,0.259,0.096,0.066,6.278,9.147,24.56,47.362
24.65,40.45,0.755,0.383,0.136,0.09,1.883,0.926,0.318,0.211,0.489,0.243,0.089,0.061,5.651,8.287,23.053,46.213
24.65,40.55,0.697,0.346,0.117,0.077,1.737,0.838,0.278,0.178,0.454,0.224,0.082,0.057,5.152,7.577,21.128,42.966
24.75,39.65,0.527,0.295,0.126,0.093,1.299,0.705,0.295,0.216,0.383,0.211,0.087,0.063,5.859,8.024,19.02,34.584
24.75,39.75,0.582,0.334,0.145,0.105,1.442,0.805,0.331,0.24,0.422,0.231,0.093,0.067,6.316,8.762,21.273,38.19
24.75,39.85,0.696,0.405,0.165,0.117,1.727,0.966,0.387,0.275,0.497,0.268,0.102,0.071,6.899,9.861,25.109,45.119
24.75,39.95,0.915,0.517,0.191,0.13,2.293,1.239,0.44,0.302,0.644,0.33,0.111,0.075,7.424,10.978,32.391,59.759
24.75,40.05,1.207,0.64,0.207,0.138,2.977,1.528,0.473,0.317,0.851,0.407,0.117,0.077,7.664,11.704,41.047,80.035
24.75,40.15,0.953,0.529,0.198,0.135,2.391,1.271,0.455,0.313,0.653,0.336,0.114,0.077,7.602,11.293,32.786,61.307
24.75,40.25,0.837,0.458,0.18,0.125,2.115,1.12,0.423,0.295,0.586,0.3,0.108,0.074,7.248,10.561,28.7,54.375
24.75,40.35,0.817,0.435,0.164,0.111,2.052,1.061,0.388,0.259,0.538,0.275,0.101,0.068,6.511,9.652,26.212,50.068
24.75,40.45,0.786,0.403,0.143,0.093,1.961,0.973,0.332,0.216,0.511,0.254,0.092,0.062,5.77,8.592,24.192,48.129
24.75,40.55,0.725,0.363,0.122,0.079,1.805,0.877,0.29,0.182,0.471,0.232,0.084,0.058,5.264,7.784,22.001,44.522
24.75,40.65,0.656,0.323,0.108,0.069,1.633,0.781,0.25,0.159,0.428,0.212,0.078,0.054,4.76,7.079,19.794,40.486
24.85,39.55,0.538,0.286,0.115,0.084,1.321,0.679,0.267,0.196,0.368,0.199,0.082,0.06,5.518,7.517,18.161,34.065
24.85,39.65,0.545,0.293,0.121,0.088,1.338,0.699,0.284,0.207,0.384,0.208,0.085,0.062,5.717,7.822,18.939,35.264
24.85,39.75,0.567,0.314,0.132,0.097,1.398,0.754,0.307,0.223,0.408,0.222,0.09,0.065,6.039,8.325,20.357,37.158
24.85,39.85,0.598,0.345,0.15,0.109,1.485,0.831,0.344,0.25,0.437,0.24,0.097,0.069,6.527,9.08,22.048,39.543
24.85,39.95,0.718,0.416,0.172,0.123,1.779,0.996,0.404,0.289,0.518,0.279,0.106,0.074,7.203,10.287,26.1,46.949
24.85,40.05,0.945,0.526,0.199,0.138,2.353,1.256,0.455,0.316,0.672,0.34,0.114,0.077,7.679,11.322,33.227,62.469
24.85,40.15,1.016,0.558,0.206,0.142,2.514,1.329,0.473,0.325,0.717,0.359,0.118,0.078,7.805,11.69,35.188,66.54
24.85,40.25,0.832,0.472,0.191,0.132,2.11,1.155,0.443,0.307,0.593,0.312,0.112,0.076,7.49,10.999,29.798,54.458
24.85,40.35,0.833,0.449,0.171,0.115,2.097,1.099,0.405,0.27,0.559,0.288,0.105,0.071,6.702,10.094,27.411,51.812
24.85,40.45,0.807,0.418,0.15,0.097,2.022,1.015,0.348,0.225,0.529,0.264,0.095,0.064,5.925,8.927,25.198,49.669
24.85,40.55,0.753,0.38,0.128,0.082,1.875,0.918,0.302,0.19,0.489,0.241,0.087,0.059,5.375,8.032,22.915,46.126
24.85,40.65,0.684,0.338,0.112,0.072,1.702,0.818,0.262,0.164,0.444,0.219,0.08,0.055,4.876,7.344,20.644,42.026
24.85,40.75,0.611,0.298,0.099,0.063,1.521,0.714,0.228,0.147,0.4,0.199,0.075,0.052,4.476,6.594,18.315,37.596
24.95,39.35,0.61,0.307,0.113,0.081,1.506,0.731,0.262,0.189,0.389,0.199,0.079,0.058,5.334,7.213,18.726,37.549
24.95,39.45,0.707,0.323,0.113,0.081,1.703,0.766,0.261,0.188,0.453,0.21,0.081,0.059,5.388,7.333,20.034,44.849
24.95,39.55,0.61,0.307,0.114,0.083,1.499,0.729,0.265,0.192,0.399,0.207,0.082,0.06,5.489,7.502,19.346,38.25
24.95,39.65,0.615,0.311,0.119,0.086,1.512,0.741,0.278,0.203,0.415,0.214,0.085,0.062,5.653,7.763,19.95,39.619
24.95,39.75,0.652,0.33,0.127,0.093,1.594,0.787,0.297,0.215,0.439,0.227,0.089,0.064,5.899,8.158,21.292,41.895
24.95,39.85,0.576,0.325,0.141,0.104,1.427,0.785,0.323,0.235,0.421,0.231,0.094,0.068,6.275,8.684,21.175,38.176
24.95,39.95,0.637,0.372,0.162,0.118,1.583,0.891,0.379,0.278,0.466,0.256,0.104,0.074,7.032,9.789,23.565,42.131
24.95,40.05,0.781,0.452,0.191,0.137,1.943,1.099,0.441,0.314,0.571,0.304,0.112,0.078,7.679,11.028,28.884,51.718
24.95,40.15,1.013,0.567,0.212,0.147,2.527,1.357,0.489,0.336,0.734,0.37,0.121,0.08,7.981,12.015,36.321,67.764
24.95,40.25,0.861,0.498,0.203,0.14,2.193,1.215,0.466,0.321,0.628,0.331,0.116,0.078,7.684,11.452,31.661,57.375
24.95,40.35,0.837,0.461,0.181,0.123,2.111,1.129,0.425,0.29,0.568,0.297,0.109,0.074,7.012,10.543,28.299,52.298
24.95,40.45,0.826,0.433,0.158,0.104,2.075,1.056,0.372,0.24,0.544,0.274,0.1,0.066,6.163,9.344,26.139,50.937
24.95,40.55,0.78,0.398,0.137,0.087,1.943,0.959,0.318,0.203,0.505,0.25,0.09,0.061,5.529,8.325,23.828,47.631
24.95,40.65,0.712,0.355,0.117,0.075,1.772,0.857,0.278,0.171,0.46,0.227,0.082,0.056,5.021,7.566,21.476,43.595
24.95,40.75,0.637,0.312,0.104,0.066,1.586,0.753,0.238,0.151,0.415,0.206,0.076,0.053,4.577,6.806,19.086,39.233
24.95,40.85,0.565,0.271,0.09,0.059,1.392,0.649,0.21,0.135,0.37,0.185,0.071,0.049,4.249,6.182,16.896,34.611
24.95,40.95,0.498,0.237,0.08,0.054,1.228,0.567,0.185,0.122,0.334,0.17,0.066,0.046,4.008,5.725,15.232,30.906
25.05,39.15,0.689,0.342,0.123,0.088,1.672,0.811,0.287,0.206,0.415,0.203,0.079,0.058,5.417,7.375,19.799,41.355
25.05,39.25,0.602,0.312,0.117,0.084,1.486,0.745,0.273,0.197,0.377,0.195,0.079,0.058,5.369,7.265,18.518,36.507
25.05,39.35,0.591,0.302,0.114,0.082,1.455,0.719,0.264,0.191,0.378,0.195,0.079,0.058,5.363,7.244,18.285,36.234
25.05,39.45,0.607,0.306,0.113,0.082,1.494,0.727,0.261,0.189,0.391,0.201,0.08,0.059,5.396,7.327,18.865,37.713
25.05,39.55,0.709,0.327,0.114,0.082,1.704,0.773,0.264,0.191,0.454,0.215,0.082,0.06,5.479,7.49,20.483,44.818
25.05,39.65,0.614,0.317,0.118,0.085,1.521,0.756,0.275,0.199,0.409,0.214,0.085,0.061,5.621,7.731,20.169,38.873
25.05,39.75,0.78,0.36,0.126,0.091,1.866,0.848,0.293,0.211,0.511,0.24,0.089,0.064,5.841,8.108,22.938,50.041
25.05,39.85,0.677,0.353,0.139,0.102,1.659,0.841,0.319,0.231,0.453,0.24,0.094,0.067,6.211,8.649,22.599,42.993
25.05,39.95,0.628,0.364,0.16,0.117,1.56,0.873,0.371,0.273,0.451,0.25,0.103,0.073,6.959,9.619,22.956,40.976
25.05,40.05,0.738,0.433,0.189,0.138,1.835,1.047,0.437,0.315,0.536,0.292,0.112,0.078,7.692,10.908,27.276,48.421
25.05,40.15,1.069,0.591,0.22,0.152,2.651,1.421,0.508,0.348,0.755,0.384,0.124,0.082,8.162,12.377,37.859,70.295
25.05,40.25,1.046,0.591,0.222,0.152,2.627,1.434,0.517,0.349,0.744,0.384,0.124,0.081,8.104,12.441,37.666,68.619
25.05,40.35,0.876,0.497,0.204,0.141,2.212,1.211,0.469,0.321,0.594,0.315,0.114,0.077,7.608,11.294,30.101,54.894
25.05,40.45,0.848,0.452,0.171,0.115,2.136,1.106,0.406,0.269,0.559,0.286,0.104,0.07,6.576,9.971,27.251,52.302
25.05,40.55,0.802,0.413,0.147,0.093,2.006,1,0.339,0.217,0.52,0.259,0.093,0.063,5.741,8.672,24.704,49.01
25.05,40.65,0.739,0.371,0.124,0.079,1.841,0.896,0.292,0.181,0.477,0.235,0.085,0.057,5.195,7.797,22.302,45.134
25.05,40.75,0.665,0.327,0.108,0.068,1.654,0.792,0.25,0.157,0.43,0.212,0.078,0.054,4.694,7.044,19.91,40.798
25.05,40.85,0.59,0.286,0.094,0.061,1.46,0.683,0.218,0.14,0.384,0.191,0.073,0.05,4.333,6.353,17.571,36.104
25.05,40.95,0.522,0.249,0.083,0.055,1.287,0.596,0.193,0.125,0.346,0.175,0.067,0.047,4.069,5.85,15.784,32.206
25.05,41.05,0.501,0.226,0.075,0.051,1.229,0.539,0.172,0.116,0.332,0.164,0.063,0.044,3.877,5.48,14.723,31.136
25.05,41.15,0.464,0.206,0.069,0.048,1.134,0.486,0.159,0.11,0.314,0.155,0.06,0.042,3.735,5.19,13.647,29.496
25.15,38.15,0.52,0.277,0.108,0.078,1.269,0.652,0.247,0.177,0.301,0.156,0.065,0.049,4.493,5.978,14.691,28.817
25.15,38.25,0.54,0.287,0.114,0.083,1.32,0.679,0.263,0.192,0.316,0.162,0.067,0.051,4.718,6.252,15.403,30.435
25.15,38.35,0.564,0.3,0.12,0.087,1.384,0.714,0.281,0.206,0.331,0.169,0.07,0.053,4.969,6.562,16.24,32.166
25.15,38.45,0.583,0.311,0.125,0.091,1.436,0.744,0.292,0.214,0.346,0.176,0.073,0.055,5.241,6.881,17.015,33.701
25.15,38.95,0.621,0.333,0.133,0.097,1.527,0.796,0.309,0.224,0.372,0.192,0.079,0.059,5.582,7.518,18.548,36.151
25.15,39.05,0.668,0.347,0.13,0.094,1.633,0.825,0.304,0.219,0.404,0.202,0.08,0.059,5.555,7.532,19.65,39.847
25.15,39.15,0.718,0.36,0.128,0.091,1.742,0.85,0.298,0.213,0.434,0.21,0.08,0.059,5.528,7.537,20.68,43.153
25.15,39.25,0.671,0.336,0.122,0.087,1.636,0.8,0.285,0.205,0.411,0.205,0.08,0.059,5.471,7.449,19.771,40.663
25.15,39.35,0.594,0.305,0.116,0.084,1.462,0.727,0.27,0.196,0.378,0.196,0.08,0.059,5.419,7.332,18.356,36.422
25.15,39.45,0.56,0.292,0.113,0.082,1.374,0.696,0.263,0.191,0.364,0.194,0.08,0.059,5.424,7.337,17.936,34.401
25.15,39.55,0.649,0.312,0.113,0.082,1.579,0.741,0.263,0.191,0.417,0.207,0.082,0.06,5.478,7.452,19.503,40.912
25.15,39.65,0.646,0.318,0.117,0.085,1.578,0.756,0.271,0.197,0.421,0.214,0.084,0.061,5.597,7.667,20.141,40.786
25.15,39.75,0.66,0.338,0.124,0.09,1.625,0.804,0.29,0.209,0.435,0.226,0.088,0.064,5.807,8.036,21.449,41.635
25.15,39.85,0.848,0.401,0.138,0.1,2.043,0.935,0.318,0.228,0.554,0.261,0.095,0.067,6.177,8.642,25.32,54.246
25.15,39.95,0.7,0.391,0.162,0.118,1.724,0.928,0.375,0.274,0.472,0.257,0.103,0.074,6.981,9.694,24.13,44.015
25.15,40.05,0.731,0.432,0.192,0.141,1.817,1.042,0.441,0.32,0.52,0.287,0.113,0.079,7.8,10.983,26.759,47.234
25.15,40.15,1.01,0.584,0.23,0.16,2.542,1.411,0.535,0.369,0.708,0.375,0.128,0.084,8.496,12.882,36.666,65.584
25.15,40.25,1.069,0.613,0.251,0.167,2.692,1.479,0.583,0.388,0.751,0.391,0.137,0.086,8.707,14,46.451,85.16
25.15,40.35,0.912,0.532,0.221,0.155,2.308,1.292,0.516,0.357,0.626,0.335,0.121,0.081,8.15,12.161,32.173,57.648
25.15,40.45,0.869,0.475,0.19,0.13,2.186,1.158,0.442,0.303,0.571,0.295,0.109,0.074,7.222,10.665,28.391,53.438
25.15,40.55,0.821,0.427,0.155,0.103,2.062,1.04,0.363,0.234,0.534,0.267,0.097,0.065,6.011,9.075,25.552,50.289
25.15,40.65,0.766,0.387,0.131,0.083,1.906,0.935,0.307,0.192,0.492,0.242,0.087,0.059,5.362,8.051,23.113,46.607
25.15,40.75,0.691,0.342,0.113,0.072,1.721,0.828,0.263,0.163,0.445,0.219,0.08,0.055,4.823,7.306,20.708,42.29
25.15,40.85,0.614,0.299,0.098,0.063,1.528,0.718,0.227,0.145,0.399,0.198,0.074,0.051,4.423,6.539,18.281,37.625
25.15,40.95,0.547,0.261,0.086,0.057,1.348,0.625,0.202,0.129,0.359,0.18,0.068,0.048,4.136,5.986,16.364,33.539
25.15,41.05,0.524,0.236,0.078,0.053,1.282,0.563,0.177,0.118,0.344,0.168,0.064,0.045,3.928,5.581,15.184,32.384
25.15,41.15,0.467,0.211,0.071,0.049,1.145,0.499,0.162,0.112,0.316,0.157,0.06,0.043,3.785,5.287,13.911,29.623
25.15,41.25,0.426,0.196,0.068,0.048,1.035,0.461,0.155,0.109,0.287,0.147,0.058,0.042,3.671,5.046,12.886,26.377
25.25,37.85,0.492,0.242,0.088,0.063,1.159,0.554,0.198,0.144,0.288,0.146,0.059,0.044,3.871,5.151,13,26.729
25.25,37.95,0.559,0.277,0.097,0.069,1.321,0.635,0.22,0.156,0.308,0.154,0.062,0.047,4.148,5.584,14.464,29.798
25.25,38.05,0.578,0.294,0.106,0.076,1.384,0.682,0.24,0.17,0.317,0.16,0.065,0.049,4.415,5.928,15.206,30.87
25.25,38.15,0.573,0.298,0.112,0.081,1.388,0.7,0.258,0.185,0.321,0.163,0.067,0.051,4.649,6.202,15.624,31.296
25.25,38.25,0.558,0.296,0.117,0.085,1.367,0.704,0.274,0.2,0.325,0.167,0.069,0.053,4.873,6.444,15.904,31.425
25.25,38.35,0.571,0.305,0.123,0.09,1.405,0.73,0.289,0.211,0.335,0.172,0.072,0.054,5.132,6.747,16.571,32.51
25.25,38.45,0.598,0.319,0.129,0.095,1.479,0.769,0.301,0.22,0.354,0.181,0.075,0.056,5.369,7.108,17.563,34.526
25.25,38.55,0.641,0.34,0.135,0.099,1.585,0.817,0.314,0.229,0.38,0.192,0.077,0.057,5.526,7.431,18.839,37.395
25.25,38.65,0.714,0.364,0.14,0.103,1.739,0.869,0.325,0.236,0.423,0.204,0.079,0.059,5.655,7.639,20.385,42.148
25.25,38.75,0.696,0.361,0.142,0.104,1.705,0.863,0.328,0.239,0.42,0.204,0.08,0.059,5.726,7.722,20.226,41.779
25.25,38.85,0.653,0.349,0.141,0.104,1.607,0.835,0.326,0.238,0.391,0.198,0.08,0.06,5.751,7.728,19.351,38.487
25.25,38.95,0.627,0.337,0.138,0.102,1.546,0.809,0.319,0.233,0.377,0.195,0.08,0.06,5.719,7.678,18.805,36.726
25.25,39.05,0.651,0.343,0.134,0.098,1.597,0.819,0.312,0.226,0.392,0.2,0.081,0.06,5.672,7.657,19.381,38.436
25.25,39.15,0.725,0.363,0.132,0.095,1.757,0.858,0.306,0.22,0.443,0.212,0.082,0.06,5.64,7.67,20.768,43.897
25.25,39.25,0.69,0.349,0.127,0.091,1.684,0.829,0.297,0.213,0.424,0.209,0.082,0.06,5.593,7.616,20.362,41.839
25.25,39.35,0.62,0.316,0.12,0.087,1.52,0.754,0.282,0.205,0.388,0.2,0.081,0.06,5.52,7.48,18.809,37.63
25.25,39.45,0.552,0.289,0.115,0.084,1.349,0.688,0.267,0.196,0.358,0.192,0.081,0.06,5.474,7.385,17.627,33.726
25.25,39.55,0.564,0.29,0.113,0.083,1.377,0.689,0.263,0.193,0.368,0.196,0.082,0.06,5.49,7.417,18.031,34.875
25.25,39.65,0.654,0.309,0.115,0.084,1.584,0.733,0.267,0.196,0.428,0.21,0.084,0.061,5.578,7.579,19.466,41.802
25.25,39.75,0.598,0.313,0.121,0.088,1.477,0.747,0.284,0.207,0.402,0.214,0.087,0.063,5.768,7.905,19.946,37.762
25.25,39.85,0.718,0.364,0.135,0.098,1.753,0.862,0.312,0.225,0.468,0.241,0.093,0.067,6.125,8.506,23.014,45.028
25.25,39.95,0.829,0.42,0.159,0.115,2.008,0.992,0.368,0.267,0.544,0.273,0.103,0.074,6.873,9.603,26.313,52.524
25.25,40.05,0.769,0.444,0.193,0.141,1.907,1.076,0.444,0.321,0.532,0.292,0.114,0.08,7.854,11.091,27.593,49.045
25.25,40.15,1,0.588,0.237,0.165,2.527,1.428,0.557,0.384,0.702,0.378,0.131,0.087,8.767,13.348,36.787,64.858
25.25,40.25,1.144,0.664,0.28,0.179,2.878,1.606,0.637,0.413,0.827,0.432,0.149,0.091,9.23,15.41,55.885,100.697
25.25,40.35,0.93,0.558,0.234,0.164,2.38,1.359,0.555,0.385,0.662,0.36,0.129,0.085,8.633,13.047,34.4,60.427
25.25,40.45,0.879,0.491,0.206,0.145,2.212,1.196,0.473,0.329,0.582,0.306,0.114,0.078,7.695,11.234,29.312,54.353
25.25,40.55,0.837,0.441,0.165,0.111,2.108,1.078,0.392,0.257,0.546,0.276,0.102,0.068,6.354,9.565,26.382,51.37
25.25,40.65,0.787,0.402,0.139,0.088,1.964,0.97,0.323,0.206,0.506,0.25,0.09,0.061,5.535,8.336,23.882,47.921
25.25,40.75,0.716,0.357,0.118,0.075,1.782,0.862,0.278,0.17,0.46,0.226,0.082,0.056,4.965,7.525,21.45,43.697
25.25,40.85,0.638,0.312,0.103,0.065,1.587,0.753,0.237,0.149,0.413,0.204,0.076,0.052,4.519,6.738,18.996,39.102
25.25,40.95,0.567,0.273,0.089,0.058,1.4,0.652,0.208,0.133,0.37,0.185,0.07,0.048,4.205,6.131,16.901,34.679
25.25,41.05,0.535,0.244,0.08,0.054,1.313,0.583,0.183,0.121,0.35,0.172,0.065,0.046,3.981,5.688,15.568,32.975
25.25,41.15,0.485,0.218,0.073,0.05,1.186,0.516,0.166,0.113,0.326,0.16,0.061,0.043,3.825,5.363,14.259,30.675
25.25,41.25,0.429,0.198,0.069,0.048,1.047,0.467,0.157,0.11,0.291,0.149,0.059,0.042,3.715,5.11,13.056,26.772
25.25,41.35,0.42,0.192,0.067,0.047,1.021,0.453,0.153,0.108,0.278,0.142,0.057,0.041,3.606,4.917,12.454,25.577
25.25,41.45,0.424,0.193,0.066,0.047,1.033,0.455,0.152,0.107,0.273,0.138,0.055,0.04,3.519,4.789,12.213,25.396
25.25,41.55,0.432,0.197,0.066,0.047,1.055,0.465,0.152,0.107,0.274,0.136,0.054,0.039,3.445,4.7,12.164,25.68
25.25,41.65,0.445,0.204,0.067,0.047,1.09,0.48,0.155,0.108,0.277,0.136,0.053,0.038,3.386,4.644,12.263,26.27
25.25,41.75,0.459,0.211,0.069,0.047,1.126,0.499,0.158,0.109,0.283,0.136,0.052,0.038,3.334,4.606,12.46,27.045
25.25,41.85,0.474,0.219,0.071,0.048,1.163,0.518,0.162,0.11,0.289,0.136,0.051,0.037,3.278,4.564,12.694,27.91
25.25,41.95,0.486,0.224,0.072,0.048,1.194,0.533,0.164,0.111,0.294,0.136,0.049,0.035,3.2,4.49,12.828,28.611
25.25,42.05,0.487,0.225,0.072,0.048,1.197,0.535,0.164,0.11,0.292,0.133,0.047,0.033,3.089,4.369,12.729,28.588
25.35,37.75,0.437,0.214,0.082,0.061,1.013,0.483,0.183,0.136,0.277,0.141,0.058,0.043,3.673,4.826,11.993,24.489
25.35,37.85,0.478,0.234,0.087,0.064,1.132,0.538,0.198,0.145,0.296,0.148,0.06,0.044,3.887,5.171,13.022,27.354
25.35,37.95,0.562,0.277,0.099,0.071,1.337,0.638,0.222,0.159,0.327,0.159,0.063,0.047,4.209,5.667,14.85,31.658
25.35,38.05,0.613,0.308,0.109,0.078,1.478,0.717,0.248,0.175,0.347,0.168,0.067,0.05,4.537,6.111,16.169,34.14
25.35,38.15,0.617,0.314,0.116,0.083,1.498,0.739,0.268,0.192,0.352,0.172,0.069,0.053,4.805,6.421,16.664,34.586
25.35,38.25,0.627,0.325,0.124,0.089,1.529,0.772,0.289,0.208,0.353,0.177,0.072,0.054,5.117,6.779,17.217,34.773
25.35,38.35,0.615,0.325,0.128,0.094,1.515,0.779,0.3,0.218,0.356,0.181,0.074,0.055,5.326,7.047,17.603,34.89
25.35,38.45,0.637,0.335,0.132,0.097,1.574,0.806,0.309,0.226,0.378,0.19,0.077,0.057,5.474,7.348,18.631,37.154
25.35,38.55,0.713,0.365,0.14,0.103,1.741,0.873,0.325,0.236,0.425,0.206,0.079,0.059,5.652,7.652,20.527,42.295
25.35,38.65,0.723,0.375,0.144,0.105,1.77,0.895,0.334,0.242,0.437,0.211,0.081,0.06,5.768,7.825,21.119,43.287
25.35,38.75,0.656,0.353,0.144,0.106,1.627,0.852,0.334,0.244,0.397,0.202,0.081,0.06,5.822,7.847,19.832,38.894
25.35,38.85,0.64,0.345,0.143,0.105,1.587,0.831,0.331,0.243,0.388,0.198,0.081,0.061,5.835,7.826,19.292,37.913
25.35,38.95,0.64,0.344,0.142,0.105,1.58,0.827,0.328,0.241,0.384,0.198,0.082,0.061,5.852,7.841,19.16,37.54
25.35,39.05,0.631,0.34,0.139,0.102,1.558,0.816,0.321,0.235,0.383,0.199,0.082,0.061,5.813,7.811,19.131,37.23
25.35,39.15,0.677,0.353,0.136,0.099,1.657,0.84,0.315,0.228,0.41,0.208,0.083,0.061,5.769,7.816,20.197,40.387
25.35,39.25,0.712,0.36,0.133,0.096,1.731,0.854,0.309,0.222,0.441,0.214,0.083,0.061,5.742,7.818,20.847,43.416
25.35,39.35,0.629,0.327,0.126,0.091,1.549,0.784,0.295,0.214,0.397,0.204,0.083,0.061,5.665,7.676,19.303,38.345
25.35,39.45,0.561,0.295,0.118,0.086,1.371,0.704,0.278,0.204,0.36,0.193,0.082,0.06,5.57,7.498,17.771,34.012
25.35,39.55,0.536,0.282,0.114,0.084,1.312,0.671,0.265,0.197,0.353,0.191,0.082,0.06,5.528,7.427,17.402,33.001
25.35,39.65,0.568,0.289,0.114,0.084,1.384,0.686,0.265,0.196,0.374,0.198,0.083,0.061,5.573,7.512,18.132,35.446
25.35,39.75,0.586,0.297,0.119,0.087,1.431,0.707,0.277,0.205,0.394,0.207,0.086,0.063,5.724,7.761,18.905,37.251
25.35,39.85,0.58,0.315,0.13,0.096,1.432,0.755,0.302,0.22,0.401,0.219,0.091,0.066,6.037,8.259,20.247,36.91
25.35,39.95,0.741,0.383,0.152,0.11,1.804,0.909,0.349,0.253,0.499,0.257,0.1,0.072,6.656,9.235,24.287,47.58
25.35,40.05,0.802,0.45,0.189,0.137,1.982,1.088,0.437,0.314,0.546,0.294,0.113,0.079,7.779,10.994,28.092,51.096
25.35,40.15,0.997,0.586,0.238,0.166,2.514,1.422,0.56,0.388,0.701,0.378,0.133,0.088,8.875,13.492,36.574,64.762
25.35,40.25,1.193,0.696,0.297,0.187,3.003,1.697,0.679,0.43,0.856,0.455,0.158,0.094,9.616,16.511,58.539,103.385
25.35,40.35,1.017,0.609,0.252,0.174,2.601,1.506,0.589,0.406,0.726,0.399,0.138,0.089,9.09,14.237,38.466,66.065
25.35,40.45,0.873,0.499,0.214,0.152,2.202,1.219,0.498,0.351,0.589,0.315,0.119,0.081,8.064,11.77,30.092,54.653
25.35,40.55,0.851,0.457,0.178,0.121,2.143,1.115,0.419,0.287,0.556,0.284,0.106,0.072,6.813,10.193,27.212,52.122
25.35,40.65,0.805,0.414,0.147,0.094,2.014,1.002,0.339,0.217,0.519,0.257,0.093,0.062,5.722,8.633,24.602,49.093
25.35,40.75,0.738,0.37,0.122,0.078,1.838,0.894,0.289,0.177,0.474,0.233,0.084,0.057,5.107,7.718,22.16,44.993
25.35,40.85,0.66,0.325,0.106,0.067,1.644,0.787,0.246,0.153,0.427,0.21,0.077,0.053,4.611,6.938,19.744,40.487
25.35,40.95,0.586,0.284,0.092,0.059,1.452,0.679,0.215,0.136,0.381,0.19,0.072,0.049,4.27,6.27,17.455,35.835
25.35,41.05,0.537,0.25,0.082,0.055,1.322,0.599,0.189,0.123,0.352,0.174,0.066,0.046,4.028,5.785,15.851,33.024
25.35,41.15,0.505,0.224,0.075,0.051,1.231,0.531,0.169,0.115,0.336,0.163,0.062,0.044,3.857,5.43,14.582,31.823
25.35,41.25,0.431,0.199,0.069,0.049,1.055,0.47,0.158,0.11,0.295,0.15,0.059,0.042,3.736,5.148,13.196,27.196
25.35,41.35,0.418,0.192,0.067,0.047,1.017,0.452,0.154,0.108,0.279,0.143,0.057,0.041,3.632,4.953,12.514,25.638
25.35,41.45,0.423,0.193,0.066,0.047,1.03,0.454,0.152,0.107,0.273,0.139,0.056,0.04,3.544,4.817,12.231,25.36
25.35,41.55,0.429,0.196,0.066,0.047,1.047,0.461,0.152,0.107,0.272,0.136,0.054,0.039,3.451,4.703,12.125,25.521
25.35,41.65,0.44,0.201,0.067,0.047,1.078,0.474,0.153,0.107,0.275,0.135,0.053,0.039,3.383,4.634,12.181,26.013
25.35,41.75,0.454,0.208,0.068,0.047,1.113,0.491,0.156,0.108,0.28,0.135,0.052,0.038,3.325,4.584,12.349,26.728
25.35,41.85,0.467,0.215,0.069,0.047,1.148,0.509,0.159,0.109,0.286,0.135,0.051,0.037,3.262,4.531,12.544,27.564
25.35,41.95,0.475,0.219,0.07,0.047,1.167,0.519,0.161,0.109,0.288,0.134,0.049,0.035,3.183,4.452,12.594,27.972
25.35,42.05,0.476,0.22,0.07,0.047,1.17,0.521,0.16,0.108,0.287,0.132,0.047,0.033,3.091,4.351,12.479,27.94
25.35,42.15,0.471,0.216,0.068,0.046,1.156,0.511,0.157,0.106,0.28,0.125,0.043,0.03,2.861,4.064,12.046,27.397
